Taxon ID,Scientific Name,Common Name,EPBC Threat Status,EPBC Threatened Species Listed Name,EPBC Threatened Species Date Effective,EPBC Act Migratory,Conservation Advice,Class,Order,Family,Genus,Taxon Group,ACT NC Act,Listed Name,NSW TSC Act and FM Act,Listed Name,NT TPWC Act,Listed Name,Qld NC Act,Listed Name,SA NPW Act,Listed Name,Tas. TSP Act,Listed Name,Vic. FFG Act (Advisory Lists),Listed Name,WA WC Act,Listed Name,IUCN Red List,IUCN Red List Listed Names,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Ashmore and Cartier Islands,Cocos (Keeling) Islands,Christmas Island,Coral Sea Islands,Jervis Bay Territory,Norfolk Island,Heard and McDonald Islands,Australian Antarctic Territory,Commonwealth Marine Area
12496,Acacia auriculiformis,"Northern Black Wattle, Ear-pod Wattle",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia auriculiformis,,,,,,,,,,,,,,,,,
20615,Acacia ausfeldii,"Ausfeld's Wattle, Whipstick Cinnamon Wattle",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia ausfeldii,,,,,,,,,Endangered,Acacia ausfeldii,,,Near Threatened,Acacia ausfeldii,,Present,,,,,,,,,,,,,,,
55562,Acacia awestoniana,Stirling Range Wattle,Vulnerable,Acacia awestoniana,16-Jul-00,,3-Jul-08,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,Critically Endangered,Acacia awestoniana,Critically Endangered,Acacia awestoniana,,,,,,,,Endemic,,,,,,,,,
13563,Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Acacia axillaris,16-Jul-00,,29-Apr-14,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,Vulnerable,Acacia axillaris,,,,,,,,,,,,Endemic,,,,,,,,,,,
14703,Acacia ayersiana,Ayers Rock Mulga,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia ayersiana,,,,,,,,,,,,,,,,,
9226,Acacia bakeri,"Marblewood, Scrub Wattle, White Marblewood, Baker's Wattle, Broad-leaved Hickory",,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Vulnerable,Acacia bakeri,,,,,,,,,,,,,Least Concern,Acacia bakeri,,Present,,,,,,,,,,,,,,,
74984,Acacia bancroftiorum, ,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia bancroftiorum,,,,,,,,,,,,,,,,,
84843,Acacia barakulensis,Waajie Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia barakulensis,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
10673,Acacia barattensis,Baratta Watle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,Rare,Acacia barattensis,,,,,,,,,,,,,,,,,,,,,,,,,
16172,Acacia basedowii,Basedow's Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,,,,,,,,,,,Least Concern,Acacia basedowii,,,,,,,,,,,,,,,,,
18662,Acacia baueri subsp. aspera, ,Endangered,Acacia baueri subsp. aspera,15-Nov-23,,15-Nov-23,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Endangered,Acacia baueri subsp. aspera,,,,,,,,,,,,,,,,Endemic,,,,,,,,,,,,,,,
6249,Acacia baueri subsp. baueri,Tiny Wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,,,,,Vulnerable,Acacia baueri subsp. baueri,,,,,,,,,,,,,,Present,,,,,,,,,,,,,
91050,Acacia beadleana,a wattle,,,,,,Magnoliopsida,Fabales,Fabaceae,Acacia,dicots (two seed leaves),,,Endangered,Acacia beadleana,,,,,,,,,,,,,,,,Present,,,,,,,,,,,,,,,
